,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3757,048350,5-я Фиалковая улица,58484879,5-я Фиалковая ул.,Pyataya Fialkovaya ulicza,001,,1204,77008000000001100,
3758,048355,6-я Фиалковая улица,58484880,6-я Фиалковая ул.,Shestaya Fialkovaya ulicza,001,,1204,77008000000001400,
3759,048360,улица Татьянин Парк,58484881,ул. Татьянин Парк,ulicza Tat'yanin Park,001,735480,1106,77011000000001000,
3760,048365,улица Зелёная Горка,58484882,ул. Зелёная Горка,ulicza Zelyonaya Gorka,001,735480,1106,77011000000014100,
3761,048370,улица Нильса Бора,58484883,ул. Нильса Бора,ulicza Nil'sa Bora,001,,1103,77004000000003800,
3762,048375,улица Семёна Гордого,58484884,ул. Семёна Гордого,ulicza Semyona Gordogo,001,735910,1207,77014000008000700,
3763,048380,улица Ивана Калиты,58484885,ул. Ивана Калиты,ulicza Ivana Kality`,001,735910,1207,77014000008000600,
3764,048385,улица Николинские Ключи,58484886,ул. Николинские Ключи,ulicza Nikolinskie Klyuchi,001,735910,1207,77014000008000500,
3765,048390,улица Нагибина,58484887,ул. Нагибина,ulicza Nagibina,001,737000,1209,77000005000015700,
3766,048395,улица Николая Клюева,58484888,ул. Николая Клюева,ulicza Nikolaya Klyueva,001,736710,1110,77018000018000700,
3767,048400,улица Фёдора Сологуба,58484889,ул. Фёдора Сологуба,ulicza Fyodora Sologuba,001,736710,1110,77018000018000500,
3768,048405,улица Петра Орешина,58484890,ул. Петра Орешина,ulicza Petra Oreshina,001,736710,1110,77018000018001000,
3769,048410,проезд Сергея Клычкова,58484891,пр. Сергея Клычкова,proezd Sergeya Kly`chkova,003,736710,1110,77018000018000400,
3770,048415,проезд Семёна Кирсанова,58484892,пр. Семёна Кирсанова,proezd Semyona Kirsanova,003,736710,1110,77018000018001100,
3771,048420,проезд Константина Бальмонта,58484893,пр. Константина Бальмонта,proezd Konstantina Bal'monta,003,736710,1110,77018000018000600,
3772,048425,улица Геологов,58484894,ул. Геологов,ulicza Geologov,001,736630,1109,77017000013000500,
3773,048430,улица Старателей,58484895,ул. Старателей,ulicza Staratelej,001,736630,1109,77017000013000600,
3774,048435,улица Суходолье,58484896,ул. Суходолье,ulicza Suxodol'e,001,736630,1109,77017000013000100,
3775,048440,улица Высоцкого,58484897,ул. Высоцкого,ulicza Vy`soczkogo,001,,0107,77000000000285600,
3776,048445,улица Святослава Рихтера,58484898,ул. Святослава Рихтера,ulicza Svyatoslava Rixtera,001,,0612,77000000000782500,
3777,048450,улица Академика Самарского,58484899,ул. Академика Самарского,ulicza Akademika Samarskogo,001,,0815,77000000000782400,
3778,048455,Певчий бульвар,58484900,Певчий бульв.,Pevchij bul`var,008,,1207,77014000023000900,
3779,048460,Журавлиная улица,58484901,Журавлиная ул.,Zhuravlinaya ulicza,001,,1207,77014000023001200,
3780,048465,1-я Скворцовая улица,58484902,1-я Скворцовая ул.,Pervaya Skvorczovaya ulicza,001,,1207,77014000023001300,
3781,048470,2-я Скворцовая улица,58484903,2-я Скворцовая ул.,Vtoraya Skvorczovaya ulicza,001,,1207,77014000023000800,
3782,048475,3-я Скворцовая улица,58484904,3-я Скворцовая ул.,Tret'ya Skvorczovaya ulicza,001,,1207,77014000023001000,
3783,048480,4-я Скворцовая улица,58484905,4-я Скворцовая ул.,Chetvyortaya Skvorczovaya ulicza,001,,1207,77014000023001100,
3784,048485,5-я Скворцовая улица,58484906,5-я Скворцовая ул.,Pyataya Skvorczovaya ulicza,001,,1207,77014000023000700,
